0,1,2,3,4,5,6,7,8
-2.0,-5.0,6.0,1.0,0.0,1.0,-38.0,41.0,233.0
-1.0,-4.0,1.0,1.0,0.0,0.0,-37.0,41.0,233.0
3.0,-6.0,-3.0,1.0,0.0,1.0,-36.0,41.0,234.0
-2.0,2.0,4.0,1.0,0.0,0.0,-35.0,41.0,234.0
-3.0,4.0,0.0,1.0,0.0,1.0,-34.0,41.0,235.0
3.0,-2.0,-3.0,1.0,0.0,1.0,-33.0,41.0,236.0
1.0,-1.0,-1.0,2.0,0.0,1.0,-31.0,41.0,237.0
0.0,0.0,0.0,0.0,0.0,0.0,-31.0,41.0,237.0
-5.0,9.0,1.0,1.0,0.0,1.0,-30.0,41.0,238.0
2.0,6.0,-9.0,2.0,0.0,1.0,-28.0,41.0,239.0
-4.0,14.0,-9.0,0.0,-1.0,0.0,-28.0,40.0,239.0
-3.0,25.0,0.0,0.0,0.0,-2.0,-28.0,40.0,237.0
7.0,9.0,-5.0,2.0,0.0,0.0,-26.0,40.0,237.0
-2.0,-2.0,-1.0,4.0,1.0,1.0,-22.0,41.0,238.0
-1.0,3.0,-4.0,3.0,0.0,1.0,-19.0,41.0,239.0
2.0,6.0,-8.0,2.0,-1.0,0.0,-17.0,40.0,239.0
-4.0,11.0,4.0,1.0,0.0,-2.0,-16.0,40.0,237.0
1.0,9.0,-1.0,2.0,0.0,-1.0,-14.0,40.0,236.0
4.0,0.0,-4.0,2.0,1.0,-1.0,-12.0,41.0,235.0
1.0,0.0,2.0,4.0,0.0,0.0,-8.0,41.0,235.0
0.0,0.0,0.0,0.0,0.0,0.0,-8.0,41.0,235.0
1.0,2.0,-4.0,3.0,0.0,0.0,-5.0,41.0,235.0
-3.0,4.0,5.0,1.0,0.0,-1.0,-4.0,41.0,234.0
4.0,-10.0,4.0,2.0,0.0,-1.0,-2.0,41.0,233.0
3.0,-8.0,2.0,3.0,1.0,0.0,1.0,42.0,233.0
1.0,-3.0,4.0,3.0,1.0,0.0,4.0,43.0,233.0
2.0,-6.0,3.0,2.0,0.0,0.0,6.0,43.0,233.0
-2.0,-6.0,5.0,3.0,1.0,-1.0,9.0,44.0,232.0
2.0,-4.0,7.0,1.0,0.0,0.0,10.0,44.0,232.0
8.0,-8.0,-3.0,3.0,1.0,-1.0,13.0,45.0,231.0
-2.0,-9.0,1.0,2.0,1.0,0.0,15.0,46.0,231.0
-2.0,-8.0,9.0,1.0,1.0,0.0,16.0,47.0,231.0
0.0,0.0,0.0,0.0,0.0,0.0,16.0,47.0,231.0
4.0,-9.0,4.0,2.0,1.0,0.0,18.0,48.0,231.0
-3.0,3.0,6.0,1.0,1.0,0.0,19.0,49.0,231.0
4.0,-9.0,1.0,2.0,1.0,0.0,21.0,50.0,231.0
4.0,-10.0,3.0,1.0,1.0,0.0,22.0,51.0,231.0
